device: cuda
training begins
[  1]	Train-loss: 0.014235	Validation-loss: 0.011286	12Margin-error: 0.285216
[  2]	Train-loss: 0.010676	Validation-loss: 0.010380	12Margin-error: 0.284830
[  3]	Train-loss: 0.010018	Validation-loss: 0.009911	12Margin-error: 0.283316
[  4]	Train-loss: 0.009657	Validation-loss: 0.009738	12Margin-error: 0.289920
[  5]	Train-loss: 0.009434	Validation-loss: 0.009383	12Margin-error: 0.263102
[  6]	Train-loss: 0.009259	Validation-loss: 0.009383	12Margin-error: 0.274959
[  7]	Train-loss: 0.009125	Validation-loss: 0.009290	12Margin-error: 0.280026
[  8]	Train-loss: 0.009047	Validation-loss: 0.009141	12Margin-error: 0.244457
[  9]	Train-loss: 0.008957	Validation-loss: 0.009095	12Margin-error: 0.271097
[ 10]	Train-loss: 0.008933	Validation-loss: 0.009138	12Margin-error: 0.264598
[ 11]	Train-loss: 0.008868	Validation-loss: 0.008927	12Margin-error: 0.266946
[ 12]	Train-loss: 0.008822	Validation-loss: 0.008901	12Margin-error: 0.265425
[ 13]	Train-loss: 0.008799	Validation-loss: 0.009070	12Margin-error: 0.277259
[ 14]	Train-loss: 0.008749	Validation-loss: 0.009036	12Margin-error: 0.276117
[ 15]	Train-loss: 0.008717	Validation-loss: 0.008816	12Margin-error: 0.268400
[ 16]	Train-loss: 0.008727	Validation-loss: 0.008746	12Margin-error: 0.260703
[ 17]	Train-loss: 0.008718	Validation-loss: 0.008930	12Margin-error: 0.272298
[ 18]	Train-loss: 0.008666	Validation-loss: 0.008820	12Margin-error: 0.260924
[ 19]	Train-loss: 0.008645	Validation-loss: 0.009069	12Margin-error: 0.284829
[ 20]	Train-loss: 0.008624	Validation-loss: 0.008765	12Margin-error: 0.251783
[ 21]	Train-loss: 0.008618	Validation-loss: 0.008686	12Margin-error: 0.266105
[ 22]	Train-loss: 0.008609	Validation-loss: 0.008679	12Margin-error: 0.241538
[ 23]	Train-loss: 0.008597	Validation-loss: 0.008985	12Margin-error: 0.258992
[ 24]	Train-loss: 0.008582	Validation-loss: 0.009037	12Margin-error: 0.253202
[ 25]	Train-loss: 0.008557	Validation-loss: 0.008762	12Margin-error: 0.273013
[ 26]	Train-loss: 0.008572	Validation-loss: 0.008660	12Margin-error: 0.269831
[ 27]	Train-loss: 0.008516	Validation-loss: 0.008646	12Margin-error: 0.263528
[ 28]	Train-loss: 0.008547	Validation-loss: 0.008594	12Margin-error: 0.261446
[ 29]	Train-loss: 0.008535	Validation-loss: 0.008582	12Margin-error: 0.239913
[ 30]	Train-loss: 0.008520	Validation-loss: 0.009286	12Margin-error: 0.276561
[ 31]	Train-loss: 0.008528	Validation-loss: 0.008693	12Margin-error: 0.253206
[ 32]	Train-loss: 0.008516	Validation-loss: 0.008581	12Margin-error: 0.262311
[ 33]	Train-loss: 0.008506	Validation-loss: 0.008529	12Margin-error: 0.252793
[ 34]	Train-loss: 0.008510	Validation-loss: 0.008776	12Margin-error: 0.243763
[ 35]	Train-loss: 0.008500	Validation-loss: 0.008736	12Margin-error: 0.233342
[ 36]	Train-loss: 0.008471	Validation-loss: 0.008619	12Margin-error: 0.252457
[ 37]	Train-loss: 0.008476	Validation-loss: 0.008579	12Margin-error: 0.252446
[ 38]	Train-loss: 0.008477	Validation-loss: 0.008572	12Margin-error: 0.255942
[ 39]	Train-loss: 0.008461	Validation-loss: 0.008547	12Margin-error: 0.266610
[ 40]	Train-loss: 0.008485	Validation-loss: 0.008686	12Margin-error: 0.276582
[ 41]	Train-loss: 0.008439	Validation-loss: 0.008658	12Margin-error: 0.274864
[ 42]	Train-loss: 0.008432	Validation-loss: 0.008764	12Margin-error: 0.280102
[ 43]	Train-loss: 0.008423	Validation-loss: 0.008613	12Margin-error: 0.255762
[ 44]	Train-loss: 0.008410	Validation-loss: 0.008498	12Margin-error: 0.259814
[ 45]	Train-loss: 0.008420	Validation-loss: 0.008534	12Margin-error: 0.265236
[ 46]	Train-loss: 0.008413	Validation-loss: 0.008614	12Margin-error: 0.260230
[ 47]	Train-loss: 0.008420	Validation-loss: 0.008537	12Margin-error: 0.261306
[ 48]	Train-loss: 0.008431	Validation-loss: 0.008709	12Margin-error: 0.235615
[ 49]	Train-loss: 0.008406	Validation-loss: 0.008652	12Margin-error: 0.219628
[ 50]	Train-loss: 0.008423	Validation-loss: 0.008509	12Margin-error: 0.258084
[ 51]	Train-loss: 0.008399	Validation-loss: 0.008551	12Margin-error: 0.272286
[ 52]	Train-loss: 0.008394	Validation-loss: 0.008444	12Margin-error: 0.260258
[ 53]	Train-loss: 0.008406	Validation-loss: 0.008480	12Margin-error: 0.260040
[ 54]	Train-loss: 0.008398	Validation-loss: 0.008575	12Margin-error: 0.271729
[ 55]	Train-loss: 0.008388	Validation-loss: 0.008599	12Margin-error: 0.249597
[ 56]	Train-loss: 0.008408	Validation-loss: 0.008587	12Margin-error: 0.237837
[ 57]	Train-loss: 0.008390	Validation-loss: 0.008826	12Margin-error: 0.299108
[ 58]	Train-loss: 0.008385	Validation-loss: 0.008450	12Margin-error: 0.260412
[ 59]	Train-loss: 0.008360	Validation-loss: 0.008467	12Margin-error: 0.242768
[ 60]	Train-loss: 0.008365	Validation-loss: 0.008572	12Margin-error: 0.279673
[ 61]	Train-loss: 0.008382	Validation-loss: 0.008600	12Margin-error: 0.233493
[ 62]	Train-loss: 0.008375	Validation-loss: 0.008538	12Margin-error: 0.274578
[ 63]	Train-loss: 0.008369	Validation-loss: 0.008434	12Margin-error: 0.246823
[ 64]	Train-loss: 0.008368	Validation-loss: 0.008449	12Margin-error: 0.261812
[ 65]	Train-loss: 0.008348	Validation-loss: 0.008743	12Margin-error: 0.258466
[ 66]	Train-loss: 0.008351	Validation-loss: 0.008422	12Margin-error: 0.257259
[ 67]	Train-loss: 0.008361	Validation-loss: 0.008402	12Margin-error: 0.251140
[ 68]	Train-loss: 0.008350	Validation-loss: 0.008591	12Margin-error: 0.263886
[ 69]	Train-loss: 0.008336	Validation-loss: 0.008930	12Margin-error: 0.262029
[ 70]	Train-loss: 0.008348	Validation-loss: 0.008425	12Margin-error: 0.236434
[ 71]	Train-loss: 0.008344	Validation-loss: 0.008633	12Margin-error: 0.269768
[ 72]	Train-loss: 0.008356	Validation-loss: 0.008531	12Margin-error: 0.277068
[ 73]	Train-loss: 0.008337	Validation-loss: 0.008500	12Margin-error: 0.231259
[ 74]	Train-loss: 0.008334	Validation-loss: 0.008448	12Margin-error: 0.245927
[ 75]	Train-loss: 0.008324	Validation-loss: 0.008624	12Margin-error: 0.265729
[ 76]	Train-loss: 0.008321	Validation-loss: 0.008478	12Margin-error: 0.262518
[ 77]	Train-loss: 0.008317	Validation-loss: 0.008881	12Margin-error: 0.238444
